station,wban,yearmoda,temp,tempNum,dewp,dewpNum,slp,slpNum,stp,stpNum,visib,visibNum,wdsp,wdspNum,mxspd,gust,max,min,prcp,sndp,frshtt
066700,99999,19650101,37.9,7,30.6,7,1012.0,7,9999.9,0,18.6,7,5.2,7,8.0,999.9,43.0,25.0,0.08E,999.9,010000
066700,99999,19650102,35.6,8,33.7,8,1006.3,8,9999.9,0,9.8,8,4.1,8,7.0,999.9,37.0,32.0*,0.39F,999.9,011000
066700,99999,19650103,30.5,8,29.8,8,1010.0,8,9999.9,0,5.0,8,4.4,8,9.9,999.9,36.0,28.0*,0.05F,999.9,001000
066700,99999,19650104,30.0,6,25.7,6,1019.3,6,9999.9,0,5.7,6,7.0,6,11.1,999.9,32.0*,27.0,0.04E,999.9,001000
066700,99999,19650105,27.2,8,22.0,8,1034.1,8,9999.9,0,5.7,8,5.0,8,8.0,999.9,30.0,23.0*,0.02E,999.9,000000
066700,99999,19650106,24.9,8,22.0,8,1035.7,8,9999.9,0,3.5,8,2.7,8,7.0,999.9,30.0,21.0,0.02E,999.9,001000
066700,99999,19650107,31.0,8,29.1,8,1030.5,8,9999.9,0,2.8,8,3.4,8,7.0,999.9,34.0,28.0,0.10F,999.9,001000
066700,99999,19650108,36.1,8,33.2,8,1021.5,8,9999.9,0,6.4,8,6.3,8,13.0,999.9,39.0,32.0,0.02E,999.9,010000
066700,99999,19650109,38.7,7,35.0,7,1018.1,7,9999.9,0,11.4,7,8.3,7,15.0,999.9,41.0*,36.0,0.04E,999.9,010000
066700,99999,19650110,40.0,8,34.0,8,1022.0,8,9999.9,0,16.6,8,15.1,8,22.9,999.9,43.0,36.0,0.22F,999.9,010000
066700,99999,19650111,29.8,8,29.5,8,1021.0,8,9999.9,0,4.1,8,2.8,8,5.1,999.9,34.0*,27.0,0.05F,999.9,100000
066700,99999,19650112,28.6,8,28.6,8,1016.9,8,9999.9,0,0.3,8,3.0,8,7.0,999.9,34.0,25.0,0.05F,999.9,100000
066700,99999,19650113,36.1,7,33.9,7,1018.5,7,9999.9,0,2.0,7,3.2,7,5.1,999.9,41.0,28.0,0.02E,999.9,000000
066700,99999,19650114,32.6,8,31.1,8,1019.5,8,9999.9,0,5.7,8,6.6,8,15.9,999.9,37.0,27.0,0.14F,999.9,110100
066700,99999,19650115,26.6,7,25.4,7,1023.1,7,9999.9,0,2.6,7,2.7,7,5.1,999.9,32.0,23.0,0.05F,999.9,100000
066700,99999,19650116,33.9,8,29.3,8,1022.1,8,9999.9,0,8.6,8,6.7,8,12.0,999.9,37.0,27.0,0.08E,999.9,001000
066700,99999,19650117,40.0,7,36.1,7,1011.2,7,9999.9,0,11.9,7,13.3,7,19.0,999.9,46.0*,34.0,0.35E,999.9,010000
066700,99999,19650118,35.0,7,29.0,7,1002.9,7,9999.9,0,18.5,7,11.4,7,20.0,999.9,37.0,30.0*,0.33F,999.9,010000
066700,99999,19650119,31.8,8,28.0,8,995.6,8,9999.9,0,7.7,8,5.9,8,8.9,999.9,34.0,28.0,0.24F,999.9,001000
066700,99999,19650120,24.8,8,21.4,8,993.6,8,9999.9,0,5.0,8,2.5,8,5.1,999.9,30.0,14.0*,0.05F,999.9,101000
066700,99999,19650121,29.8,6,26.5,6,996.9,5,9999.9,0,2.7,6,3.2,6,5.1,999.9,34.0,27.0*,0.01E,999.9,001000
066700,99999,19650122,34.0,8,32.0,8,1007.2,8,9999.9,0,7.0,8,6.4,8,20.0,999.9,39.0,32.0,0.12F,999.9,011000
066700,99999,19650123,35.0,6,33.6,6,1018.7,6,9999.9,0,7.6,6,3.2,6,5.1,999.9,39.0,30.0,0.04F,999.9,011000
066700,99999,19650124,31.8,8,30.5,8,1027.7,8,9999.9,0,3.1,8,2.2,8,5.1,999.9,34.0*,28.0,0.00I,999.9,100000
066700,99999,19650125,33.5,8,30.8,8,1022.2,8,9999.9,0,3.5,8,2.4,8,5.1,999.9,36.0,30.0,0.06F,999.9,001000
066700,99999,19650126,34.0,7,28.9,7,1013.8,7,9999.9,0,5.2,7,2.1,7,6.0,999.9,39.0,32.0,0.02E,999.9,000000
066700,99999,19650127,32.0,6,29.7,6,1009.8,6,9999.9,0,3.3,6,2.6,6,5.1,999.9,34.0*,30.0*,0.04E,999.9,001000
066700,99999,19650128,32.2,7,30.3,7,1006.8,7,9999.9,0,2.7,7,3.7,7,6.0,999.9,37.0,28.0,0.04E,999.9,001000
066700,99999,19650129,32.6,8,31.5,8,1009.2,8,9999.9,0,0.9,8,2.9,8,6.0,999.9,39.0,28.0,0.02E,999.9,100000
066700,99999,19650130,36.9,8,36.1,8,1009.1,8,9999.9,0,0.7,8,3.1,8,4.1,999.9,43.0,32.0,0.18F,999.9,110000
066700,99999,19650131,42.9,8,39.4,8,1012.3,8,9999.9,0,4.5,8,4.9,8,9.9,999.9,55.0,34.0,0.05F,999.9,110000
066700,99999,19650201,37.9,8,35.6,8,1023.5,8,9999.9,0,4.9,8,4.7,8,8.9,999.9,43.0,30.0*,0.13F,999.9,011000
066700,99999,19650202,30.0,7,25.9,7,1037.2,7,9999.9,0,6.1,7,4.3,7,11.1,999.9,34.0*,27.0,0.02E,999.9,101000
066700,99999,19650203,25.2,7,20.5,7,1037.8,7,9999.9,0,4.8,7,1.2,7,2.9,999.9,30.0*,19.0,0.00I,999.9,000000
066700,99999,19650204,28.8,8,25.5,8,1032.2,8,9999.9,0,3.0,8,2.2,8,6.0,999.9,34.0,27.0,0.05F,999.9,001000
066700,99999,19650205,28.4,8,27.3,8,1026.1,8,9999.9,0,2.4,8,2.5,8,4.1,999.9,32.0,25.0,0.12E,999.9,001000
066700,99999,19650206,33.0,8,28.9,8,1027.8,8,9999.9,0,5.1,8,4.8,8,8.9,999.9,36.0,30.0,0.06F,999.9,001000
066700,99999,19650207,29.5,8,28.3,8,1026.8,8,9999.9,0,2.6,8,2.6,8,6.0,999.9,32.0,25.0,0.17F,999.9,001000
066700,99999,19650208,29.9,7,25.7,7,1019.3,7,9999.9,0,7.2,7,6.4,7,12.0,999.9,34.0,25.0*,0.04F,999.9,001000
066700,99999,19650209,22.1,8,16.5,8,1024.0,8,9999.9,0,11.0,8,8.0,8,15.9,999.9,27.0,18.0,0.04F,999.9,001000
066700,99999,19650210,19.7,6,11.8,6,1027.6,6,9999.9,0,7.0,6,4.2,6,7.0,999.9,27.0,16.0*,0.02E,999.9,001000
066700,99999,19650211,26.8,8,22.9,8,1027.0,8,9999.9,0,3.2,8,2.4,8,6.0,999.9,34.0,21.0,0.02F,999.9,001000
066700,99999,19650212,22.2,5,20.0,5,1028.5,5,9999.9,0,1.1,5,2.8,5,5.1,999.9,30.0*,16.0,0.02E,999.9,100000
066700,99999,19650213,32.1,8,26.2,8,1021.4,8,9999.9,0,6.8,8,9.9,8,16.9,999.9,37.0,27.0,0.06F,999.9,011000
066700,99999,19650214,32.8,7,29.1,7,1017.0,7,9999.9,0,8.7,7,9.1,7,12.0,999.9,34.0*,28.0*,0.04E,999.9,011000
066700,99999,19650215,27.0,7,23.8,7,1022.7,7,9999.9,0,10.4,7,5.8,7,9.9,999.9,30.0*,21.0,0.02E,999.9,001000
066700,99999,19650216,26.9,7,21.0,7,1020.5,7,9999.9,0,9.5,7,5.9,7,11.1,999.9,30.0,25.0,0.04F,999.9,001001
066700,99999,19650217,23.0,7,19.0,7,1023.2,7,9999.9,0,4.2,7,4.0,7,9.9,999.9,27.0,21.0,0.10F,999.9,001000
066700,99999,19650218,22.1,8,16.1,8,1025.9,8,9999.9,0,5.4,8,5.1,8,8.0,999.9,27.0,18.0,0.05F,999.9,001000
066700,99999,19650219,25.6,7,20.7,7,1024.4,7,9999.9,0,4.1,7,4.9,7,11.1,999.9,30.0,21.0,0.05F,999.9,001000
066700,99999,19650220,26.2,5,19.4,5,1023.8,5,9999.9,0,4.3,5,10.6,5,15.0,999.9,27.0*,25.0*,99.99,999.9,001000
066700,99999,19650221,21.4,8,14.2,8,1025.6,8,9999.9,0,5.1,8,4.9,8,8.0,999.9,25.0,18.0*,0.02E,999.9,000000
066700,99999,19650222,17.4,7,12.4,7,1024.4,7,9999.9,0,2.8,7,2.3,7,5.1,999.9,32.0,5.0,0.00I,999.9,000000
066700,99999,19650223,17.2,7,14.4,7,1020.3,7,9999.9,0,0.9,7,0.8,7,2.9,999.9,32.0,9.0,0.00I,999.9,100000
066700,99999,19650225,20.8,8,16.5,8,1018.0,8,9999.9,0,1.5,8,1.6,8,6.0,999.9,32.0,9.0,0.02E,999.9,100000
066700,99999,19650226,22.0,7,17.7,7,1014.2,7,9999.9,0,1.6,7,1.7,7,5.1,999.9,36.0,9.0,0.02E,999.9,100000
066700,99999,19650227,26.7,6,19.5,6,1015.2,6,9999.9,0,6.5,6,8.2,6,13.0,999.9,34.0*,18.0,0.02E,999.9,001000
066700,99999,19650228,29.1,7,21.6,7,1011.8,7,9999.9,0,8.3,7,1.8,7,7.0,999.9,37.0,19.0*,0.00I,999.9,100000
066700,99999,19650301,32.7,8,31.5,8,1000.1,8,9999.9,0,1.8,8,4.0,8,8.9,999.9,37.0,30.0,0.25F,999.9,001000
066700,99999,19650302,32.8,7,32.3,7,990.9,7,9999.9,0,1.1,7,5.4,7,8.9,999.9,34.0,30.0,0.28F,999.9,011000
066700,99999,19650303,24.8,8,19.7,8,1005.4,8,9999.9,0,4.3,8,8.0,8,12.0,999.9,28.0,18.0*,0.06F,999.9,001000
066700,99999,19650304,15.3,7,10.8,7,1008.7,7,9999.9,0,2.3,7,1.2,7,2.9,999.9,30.0,1.0,0.00I,999.9,100000
066700,99999,19650305,21.4,7,18.1,7,1007.9,7,9999.9,0,1.5,7,1.4,7,2.9,999.9,34.0,9.0,0.02E,999.9,100000
066700,99999,19650306,30.8,5,29.4,5,1015.5,5,9999.9,0,0.8,5,3.1,5,8.9,999.9,36.0,28.0,0.16F,999.9,111000
066700,99999,19650308,30.0,6,20.8,6,1027.6,6,9999.9,0,3.7,6,2.3,6,6.0,999.9,37.0,27.0,0.00I,999.9,000000
066700,99999,19650309,28.7,6,20.5,6,1027.7,6,9999.9,0,3.1,6,3.0,6,8.0,999.9,36.0,18.0,0.00I,999.9,100000
066700,99999,19650310,27.9,8,20.4,8,1028.5,8,9999.9,0,3.3,8,3.6,8,6.0,999.9,36.0,21.0,0.00I,999.9,000000
066700,99999,19650311,29.8,5,19.6,5,1028.1,5,9999.9,0,2.4,5,1.2,5,6.0,999.9,43.0,16.0,0.05F,999.9,100000
066700,99999,19650312,30.3,6,19.7,6,1023.9,6,9999.9,0,3.1,6,1.5,6,4.1,999.9,45.0,16.0,0.05F,999.9,100000
066700,99999,19650313,30.7,7,23.6,7,1022.8,7,9999.9,0,2.4,7,2.3,7,4.1,999.9,48.0,18.0,0.00I,999.9,000000
066700,99999,19650314,39.6,7,30.3,7,1022.3,7,9999.9,0,3.8,7,1.7,7,4.1,999.9,54.0*,32.0,0.00I,999.9,000000
066700,99999,19650315,43.5,8,35.5,8,1021.3,8,9999.9,0,10.4,8,4.1,8,8.0,999.9,55.0,34.0,0.02E,999.9,000000
066700,99999,19650316,45.3,7,39.8,7,1019.6,7,9999.9,0,13.8,7,7.5,7,9.9,999.9,52.0,39.0,0.45F,999.9,010000
066700,99999,19650317,43.7,8,34.4,8,1013.7,8,9999.9,0,21.7,8,5.1,8,6.0,999.9,59.0,28.0,0.00I,999.9,000000
066700,99999,19650318,44.2,6,36.3,6,1007.2,6,9999.9,0,18.6,6,7.2,6,15.0,999.9,50.0*,37.0,99.99,999.9,010000
066700,99999,19650319,43.0,7,38.7,7,1012.8,7,9999.9,0,8.4,7,7.3,7,9.9,999.9,46.0,39.0*,0.02E,999.9,010000
066700,99999,19650320,43.0,7,36.2,7,1017.6,7,9999.9,0,7.0,7,3.6,7,8.9,999.9,52.0*,37.0,0.02E,999.9,010000
066700,99999,19650321,47.4,8,45.0,8,1011.7,8,9999.9,0,8.5,8,9.3,8,14.0,999.9,52.0,41.0,0.79F,999.9,010000
066700,99999,19650322,49.6,5,41.6,5,1012.2,5,9999.9,0,16.7,5,5.8,5,9.9,999.9,54.0,46.0*,99.99,999.9,010000
066700,99999,19650323,44.0,7,41.8,7,1005.6,7,9999.9,0,10.2,7,6.1,7,12.0,999.9,46.0,41.0,0.39F,999.9,010000
066700,99999,19650324,45.1,7,41.3,7,1009.6,7,9999.9,0,11.2,7,10.5,7,18.1,999.9,48.0,45.0*,0.39E,999.9,010000
066700,99999,19650325,43.6,6,37.5,6,1019.8,6,9999.9,0,16.1,6,12.1,6,20.0,999.9,45.0*,41.0,0.08E,999.9,010000
066700,99999,19650326,42.1,7,37.7,7,1021.3,7,9999.9,0,11.9,7,14.3,7,18.1,999.9,43.0*,39.0*,0.04E,999.9,010000
066700,99999,19650327,45.9,7,41.0,7,1031.0,7,9999.9,0,13.0,7,4.1,7,8.9,999.9,52.0*,37.0,99.99,999.9,010000
066700,99999,19650328,50.3,7,44.0,7,1034.4,7,9999.9,0,10.0,7,3.4,7,6.0,999.9,57.0,45.0*,99.99,999.9,010000
066700,99999,19650329,49.5,6,40.2,6,1032.2,6,9999.9,0,7.8,6,4.6,6,9.9,999.9,61.0,34.0,0.02E,999.9,100000
066700,99999,19650330,50.3,6,42.3,6,1025.5,6,9999.9,0,6.6,6,3.7,6,7.0,999.9,64.0,36.0,0.00I,999.9,000000
066700,99999,19650331,47.3,8,34.6,8,1025.9,8,9999.9,0,11.3,8,10.9,8,18.1,999.9,55.0,39.0,0.00I,999.9,000000
066700,99999,19650401,47.8,8,30.5,8,1027.1,8,9999.9,0,12.9,8,7.9,8,13.0,999.9,59.0,32.0,0.00I,999.9,000000
066700,99999,19650402,47.8,8,33.3,8,1028.7,8,9999.9,0,7.7,8,2.6,8,6.0,999.9,63.0,32.0,0.00I,999.9,000000
066700,99999,19650403,50.1,8,35.4,8,1025.6,8,9999.9,0,6.7,8,3.6,8,8.0,999.9,66.0,32.0,0.00I,999.9,100000
066700,99999,19650404,53.0,8,38.6,8,1017.9,8,9999.9,0,13.2,8,5.1,8,9.9,999.9,64.0,39.0,0.00I,999.9,000000
066700,99999,19650405,52.2,8,37.4,8,1012.2,8,9999.9,0,13.2,8,3.9,8,12.0,999.9,66.0,37.0,0.00I,999.9,100000
066700,99999,19650406,53.1,7,41.0,7,1012.8,7,9999.9,0,8.1,7,5.0,7,9.9,999.9,61.0,43.0*,0.00I,999.9,000000
066700,99999,19650407,52.9,8,41.5,8,1013.7,8,9999.9,0,8.4,8,5.1,8,8.9,999.9,59.0,46.0,0.02E,999.9,010000
066700,99999,19650408,46.4,5,44.6,5,1010.3,5,9999.9,0,3.2,5,4.8,5,7.0,999.9,48.0,43.0,0.24F,999.9,010000
066700,99999,19650409,44.5,6,40.0,6,1011.7,6,9999.9,0,5.0,6,5.0,6,12.0,999.9,50.0,39.0,0.16F,999.9,010000
066700,99999,19650410,47.1,7,37.9,7,1012.9,7,9999.9,0,5.0,7,2.6,7,4.1,999.9,57.0,39.0*,0.00I,999.9,100000
066700,99999,19650411,45.4,8,41.4,8,1012.5,8,9999.9,0,6.0,8,6.3,8,12.0,999.9,50.0,43.0*,0.24F,999.9,010000
066700,99999,19650412,46.0,7,36.9,7,1016.3,7,9999.9,0,16.4,7,3.8,7,9.9,999.9,55.0,41.0*,0.02E,999.9,010000
066700,99999,19650413,44.1,7,34.9,7,1014.0,7,9999.9,0,14.6,7,9.1,7,13.0,999.9,48.0,37.0,0.05F,999.9,010000
066700,99999,19650414,40.7,7,33.4,7,1019.6,7,9999.9,0,10.7,7,3.0,7,8.9,999.9,50.0,32.0*,0.00I,999.9,100000
066700,99999,19650415,41.0,7,33.9,7,1017.9,7,9999.9,0,6.4,7,5.3,7,12.0,999.9,52.0,30.0*,0.04E,999.9,110000
066700,99999,19650416,45.1,8,42.9,8,1014.2,8,9999.9,0,8.1,7,7.0,7,12.0,999.9,50.0,43.0,0.63F,999.9,010000
066700,99999,19650417,46.4,7,39.3,7,1015.5,7,9999.9,0,12.1,7,8.0,7,16.9,999.9,54.0,37.0,0.10F,999.9,000000
066700,99999,19650418,44.7,7,38.6,7,1006.4,7,9999.9,0,14.5,7,14.8,7,22.9,999.9,50.0*,37.0*,0.20E,999.9,010000
066700,99999,19650419,37.0,6,34.0,6,1005.3,6,9999.9,0,15.0,6,7.0,6,13.0,999.9,41.0*,36.0,0.16E,999.9,011010
066700,99999,19650420,34.7,7,32.3,7,1004.5,7,9999.9,0,10.9,7,4.9,7,12.0,999.9,37.0*,32.0*,0.02E,999.9,011000
066700,99999,19650421,36.4,7,35.0,7,1006.8,7,9999.9,0,2.6,7,2.9,7,7.0,999.9,41.0,32.0,0.67F,999.9,011000
066700,99999,19650422,38.0,7,36.7,7,1007.7,7,9999.9,0,4.2,7,3.4,7,7.0,999.9,41.0,36.0,0.71F,999.9,010000
